retriever,hit_at_1,hit_at_3,hit_at_5,hit_at_10,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precision_at_1,precision_at_3,precision_at_5,precision_at_10,ragas_id_context_precision,ragas_id_context_recall,latency_mean_ms
bm25,0.428571428571,0.714285714286,0.761904761905,0.904761904762,0.582199546485,0.113172541744,0.172284065141,0.247990105133,0.452252112966,0.428571428571,0.269841269841,0.257142857143,0.257142857143,0.257142857143,0.452252112966,0.433
gemini_chroma,0.190476190476,0.571428571429,0.809523809524,0.952380952381,0.43373015873,0.049963924964,0.215821480107,0.337177901464,0.559271284271,0.190476190476,0.301587301587,0.32380952381,0.309523809524,0.309523809524,0.559271284271,574.784
current_hybrid,0.571428571429,0.904761904762,0.904761904762,0.952380952381,0.736961451247,0.161528550814,0.31280148423,0.472407750979,0.821026592455,0.571428571429,0.539682539683,0.542857142857,0.53648904006,0.53648904006,0.821026592455,124.642
